<<<<<<< HEAD
city_name,iata_code,icao_code,latitude,longitude
Aracaju,AJU,SBAR,-10.983333,-37.066667
Belém,BEL,SBBE,-1.383333,-48.483333
Belo Horizonte,CNF,SBCF,-19.633333,-43.966667
Boa Vista,BVB,SBBV,2.833333,-60.7
Brasília,BSB,SBBR,-15.866667,-47.916667
Campinas,VCP,SBKP,-23.016667,-47.133333
Campo Grande,CGR,SBCG,-20.466667,-54.666667
Cerejeiras,CJZ,SWCA,-13.183333,-60.816667
Coiaba,CGB,SBCY,-15.65,-56.116667
Culpi,CPV,SBKG,-7.266667,-35.766667
Curitiba,CWB,SBCT,-25.533333,-49.166667
Florianópolis,FLN,SBFL,-27.666667,-48.55
Fortaleza,FOR,SBFZ,-3.783333,-38.533333
Foz do Iguaçu,IGU,SBFI,-25.6,-54.483333
Goiânia,GNB,SBGO,-16.633333,-49.216667
Ilhéus,IOS,SBIL,-14.816667,-39.033333
Imperatriz,IMP,SBIZ,-5.533333,-47.466667
João Pessoa,JPA,SBJP,-7.233333,-35.9
Juazeiro do Norte,JDZ,SBJU,-7.216667,-39.283333
Lacerdinha,LEC,SBLD,-13.033333,-59.483333
Lagoa Santa,PLU,SBBH,-19.85,-43.95
Macapá,MCP,SBMQ,0.05,-51.066667
Maceió,MCZ,SBMZ,-9.516667,-35.783333
Manaus,MAO,SBEG,-3.033333,-60.05
Marabá,MBA,SBMA,-5.366667,-49.133333
Natal,NAT,SBNT,-5.766667,-35.366667
Palmas,PMW,SBPQ,-10.233333,-48.35
Paranaguá,PGZ,SBPQ,-25.533333,-48.533333
Pelotas,PET,SBPV,-31.716667,-52.333333
Petrolina,PNZ,SBPL,-9.366667,-40.7
Porto Alegre,POA,SBPA,-29.983333,-51.183333
Porto Velho,PVH,SBPV,-8.766667,-63.9
Recife,REC,SBRF,-8.05,-34.933333
Rio Branco,RBR,SBRB,-9.983333,-67.816667
Rio de Janeiro,GIG,SBGL,-22.816667,-43.25
Rio de Janeiro,SDU,SBRJ,-22.916667,-43.183333
Salvador,SSA,SBSV,-12.916667,-38.333333
São José do Rio Preto,SJP,SBSR,-20.816667,-49.4
São Luís,SLZ,SBSL,-2.583333,-44.233333
São Paulo,CGH,SBSP,-23.616667,-46.65
São Paulo,GRU,SBGR,-23.433333,-46.466667
Teresina,THE,SBTE,-5.066667,-42.816667
Uberlândia,UDI,SBUL,-18.883333,-48.233333
=======
city_name,iata_code,icao_code,latitude,longitude
Aracaju,AJU,SBAR,-10.983333,-37.066667
Belém,BEL,SBBE,-1.383333,-48.483333
Belo Horizonte,CNF,SBCF,-19.633333,-43.966667
Boa Vista,BVB,SBBV,2.833333,-60.7
Brasília,BSB,SBBR,-15.866667,-47.916667
Campinas,VCP,SBKP,-23.016667,-47.133333
Campo Grande,CGR,SBCG,-20.466667,-54.666667
Cerejeiras,CJZ,SWCA,-13.183333,-60.816667
Coiaba,CGB,SBCY,-15.65,-56.116667
Culpi,CPV,SBKG,-7.266667,-35.766667
Curitiba,CWB,SBCT,-25.533333,-49.166667
Florianópolis,FLN,SBFL,-27.666667,-48.55
Fortaleza,FOR,SBFZ,-3.783333,-38.533333
Foz do Iguaçu,IGU,SBFI,-25.6,-54.483333
Goiânia,GNB,SBGO,-16.633333,-49.216667
Ilhéus,IOS,SBIL,-14.816667,-39.033333
Imperatriz,IMP,SBIZ,-5.533333,-47.466667
João Pessoa,JPA,SBJP,-7.233333,-35.9
Juazeiro do Norte,JDZ,SBJU,-7.216667,-39.283333
Lacerdinha,LEC,SBLD,-13.033333,-59.483333
Lagoa Santa,PLU,SBBH,-19.85,-43.95
Macapá,MCP,SBMQ,0.05,-51.066667
Maceió,MCZ,SBMZ,-9.516667,-35.783333
Manaus,MAO,SBEG,-3.033333,-60.05
Marabá,MBA,SBMA,-5.366667,-49.133333
Natal,NAT,SBNT,-5.766667,-35.366667
Palmas,PMW,SBPQ,-10.233333,-48.35
Paranaguá,PGZ,SBPQ,-25.533333,-48.533333
Pelotas,PET,SBPV,-31.716667,-52.333333
Petrolina,PNZ,SBPL,-9.366667,-40.7
Porto Alegre,POA,SBPA,-29.983333,-51.183333
Porto Velho,PVH,SBPV,-8.766667,-63.9
Recife,REC,SBRF,-8.05,-34.933333
Rio Branco,RBR,SBRB,-9.983333,-67.816667
Rio de Janeiro,GIG,SBGL,-22.816667,-43.25
Rio de Janeiro,SDU,SBRJ,-22.916667,-43.183333
Salvador,SSA,SBSV,-12.916667,-38.333333
São José do Rio Preto,SJP,SBSR,-20.816667,-49.4
São Luís,SLZ,SBSL,-2.583333,-44.233333
São Paulo,CGH,SBSP,-23.616667,-46.65
São Paulo,GRU,SBGR,-23.433333,-46.466667
Teresina,THE,SBTE,-5.066667,-42.816667
Uberlândia,UDI,SBUL,-18.883333,-48.233333
>>>>>>> d10e5449e13c53935bbe0eba624404f25bc0ee3f
Vitória,VIX,SBVT,-20.25,-40.283333
